"Horodateur","Please briefly describe your main area(s) of expertise 
(e.g., EEG signal processing, BCI/neurofeedback, neurophysiology, cognitive neuroscience, etc.) ","How many years of experience do you have?  ","How familiar are you with CSPs?  ","Which CSP would you select for right-hand motor imagery neurofeedback in this subject?  [Choice]","How confident are you in your CSP selection for this subject?  ","How would you describe this selection?  ","Do you have any comments or remarks regarding this subject or your CSP selection?  ","Which CSP would you select for right-hand motor imagery neurofeedback in this subject?  [Choice]","How confident are you in your CSP selection for this subject?  ","How would you describe this selection?  ","Do you have any comments or remarks regarding this subject or your CSP selection?  ","Which CSP would you select for right-hand motor imagery neurofeedback in this subject?  [Choice]","How confident are you in your CSP selection for this subject?  ","How would you describe this selection?  ","Do you have any comments or remarks regarding this subject or your CSP selection?  ","Which CSP would you select for right-hand motor imagery neurofeedback in this subject?  [Choice]","How confident are you in your CSP selection for this subject?  ","How would you describe this selection?  ","Do you have any comments or remarks regarding this subject or your CSP selection?  ","Which CSP would you select for right-hand motor imagery neurofeedback in this subject?  [Choice]","How confident are you in your CSP selection for this subject?  ","How would you describe this selection?  ","Do you have any comments or remarks regarding this subject or your CSP selection?  ","Which CSP would you select for right-hand motor imagery neurofeedback in this subject?  [Choice]","How confident are you in your CSP selection for this subject?  ","How would you describe this selection?  ","Do you have any comments or remarks regarding this subject or your CSP selection?  ","Which CSP would you select for right-hand motor imagery neurofeedback in this subject?  [Choice]","How confident are you in your CSP selection for this subject?  ","How would you describe this selection?  ","Do you have any comments or remarks regarding this subject or your CSP selection?  ","Which CSP would you select for right-hand motor imagery neurofeedback in this subject?  [Choice]","How confident are you in your CSP selection for this subject?  ","How would you describe this selection?  ","Do you have any comments or remarks regarding this subject or your CSP selection?  ","Which CSP would you select for right-hand motor imagery neurofeedback in this subject?  [Choice]","How confident are you in your CSP selection for this subject?  ","How would you describe this selection?  ","Do you have any comments or remarks regarding this subject or your CSP selection?  ","Which CSP would you select for right-hand motor imagery neurofeedback in this subject?  [Choice]","How confident are you in your CSP selection for this subject?  ","How would you describe this selection?  ","Do you have any comments or remarks regarding this subject or your CSP selection?  ","Which CSP would you select for right-hand motor imagery neurofeedback in this subject?  [Choice]","How confident are you in your CSP selection for this subject?  ","How would you describe this selection?  ","Do you have any comments or remarks regarding this subject or your CSP selection?  ","Which CSP would you select for right-hand motor imagery neurofeedback in this subject?  [Choice]","How confident are you in your CSP selection for this subject?  ","How would you describe this selection?  ","Do you have any comments or remarks regarding this subject or your CSP selection?  ","Which CSP would you select for right-hand motor imagery neurofeedback in this subject?  [Choice]","How confident are you in your CSP selection for this subject?  ","How would you describe this selection?  ","Do you have any comments or remarks regarding this subject or your CSP selection?  ","Which CSP would you select for right-hand motor imagery neurofeedback in this subject?  [Choice]","How confident are you in your CSP selection for this subject?  ","How would you describe this selection?  ","Do you have any comments or remarks regarding this subject or your CSP selection?  ","Which CSP would you select for right-hand motor imagery neurofeedback in this subject?  [Choice]","How confident are you in your CSP selection for this subject?  ","How would you describe this selection?  ","Do you have any comments or remarks regarding this subject or your CSP selection?  ","Which CSP would you select for right-hand motor imagery neurofeedback in this subject?  [Choice]","How confident are you in your CSP selection for this subject?  ","How would you describe this selection?  ","Do you have any comments or remarks regarding this subject or your CSP selection?  ","Which CSP would you select for right-hand motor imagery neurofeedback in this subject?  [Choice]","How confident are you in your CSP selection for this subject?  ","How would you describe this selection?  ","Do you have any comments or remarks regarding this subject or your CSP selection?  ","Which CSP would you select for right-hand motor imagery neurofeedback in this subject?  [Choice]","How confident are you in your CSP selection for this subject?  ","How would you describe this selection?  ","Do you have any comments or remarks regarding this subject or your CSP selection?  ","Which CSP would you select for right-hand motor imagery neurofeedback in this subject?  [Choice]","How confident are you in your CSP selection for this subject?  ","How would you describe this selection?  ","Do you have any comments or remarks regarding this subject or your CSP selection?  ","Which CSP would you select for right-hand motor imagery neurofeedback in this subject?  [Choice]","How confident are you in your CSP selection for this subject?  ","How would you describe this selection?  ","Do you have any comments or remarks regarding this subject or your CSP selection?  ","Any additional comments or remarks?
(We are particularly interested in the strategy you used to select the CSP.  Please describe the criteria and reasoning behind your selection. You may also mention the main difficulties encountered and any general feedback on the task or visualizations)"
"2026/01/08 6:44:56 PM UTC+1","signal processing, machine learning, neurophysiology, BCI","5–10 years","Limited familiarity (general knowledge or occasional use)","C","4","Several plausible options (more than one CSP could have been selected)","Also CSP-A possible","D","5","Clear choice (one CSP clearly stood out)","","A","3","No suitable CSP (none of the proposed CSPs seemed appropriate)","","A","5","Clear choice (one CSP clearly stood out)","","F","2","No suitable CSP (none of the proposed CSPs seemed appropriate)","","C","4","Several plausible options (more than one CSP could have been selected)","CSP-E but less similar to the ERP topoplot","D","4","Several plausible options (more than one CSP could have been selected)","CSP-E but less focused and similar to the ERP topo pattern","F","4","Several plausible options (more than one CSP could have been selected)","CSP-A but less similar to the ERP","E","2","No suitable CSP (none of the proposed CSPs seemed appropriate)","","F","3","Several plausible options (more than one CSP could have been selected)","CSP-D but seems weaker within the motor area","A","3","Clear choice (one CSP clearly stood out)","CSP-D (i hesitated a lot) but more posterior and different from the ERP","D","4","Clear choice (one CSP clearly stood out)","","A","4","Clear choice (one CSP clearly stood out)","","A","4","Clear choice (one CSP clearly stood out)","","B","3","Several plausible options (more than one CSP could have been selected)","CSP-E is closer to the ERP but less neurophysiologically relevant","F","4","Clear choice (one CSP clearly stood out)","the best from the list even though this is not a ""good one""","D","3","Several plausible options (more than one CSP could have been selected)","le moins pire XD","B","4","Clear choice (one CSP clearly stood out)","","C","4","Several plausible options (more than one CSP could have been selected)","CSP-F too even though it is less lateralized","A","4","Clear choice (one CSP clearly stood out)","","I tried to pick the CSP that was the closest to the ERP (when the later was plausible)."
"2026/01/09 11:51:37 AM UTC+1","EEG signal processing, cognitive neuroscience, (neurofeedback)","> 10 years","Limited familiarity (general knowledge or occasional use)","A","3","Several plausible options (more than one CSP could have been selected)","I think A is the best, but C could also be a candidate","D","2","Several plausible options (more than one CSP could have been selected)","A was the other option, but with additional temporal info.... ","D","1","No suitable CSP (none of the proposed CSPs seemed appropriate)","this person seems to have done left hand MI :(","A","5","Clear choice (one CSP clearly stood out)","","F","1","No suitable CSP (none of the proposed CSPs seemed appropriate)","rang F :(","C","2","Clear choice (one CSP clearly stood out)","the activity good topographically but very shallow","D","3","Clear choice (one CSP clearly stood out)","good map but rang D :(","A","2","Several plausible options (more than one CSP could have been selected)","A or D???","E","1","No suitable CSP (none of the proposed CSPs seemed appropriate)","A or E???","D","2","Several plausible options (more than one CSP could have been selected)","D, F, A ???","D","2","Several plausible options (more than one CSP could have been selected)","ALso A but with ""temporal noise""","D","2","Several plausible options (more than one CSP could have been selected)","also eventuallly F and A ?","A","4","Clear choice (one CSP clearly stood out)","","A","5","Clear choice (one CSP clearly stood out)","","E","2","Several plausible options (more than one CSP could have been selected)","B or E. If I know if rank ordering is respected, I would maybe have selected B. Again, pb of temporal weights: will the subject learn to contract a bit temporal muscle with B relative to E???","F","2","No suitable CSP (none of the proposed CSPs seemed appropriate)","","D","3","No suitable CSP (none of the proposed CSPs seemed appropriate)","","B","4","Clear choice (one CSP clearly stood out)","","C","2","No suitable CSP (none of the proposed CSPs seemed appropriate)","pb d'echelle totalmeent ""mangee""' par activite frontal de 1e CSP","A","5","Clear choice (one CSP clearly stood out)","",""
"2026/01/13 6:46:36 PM UTC+1","fMRI, MEG signal processing, cognitive neuroscience","> 10 years","No familiarity","B","3","Several plausible options (more than one CSP could have been selected)","hesitation with CSP E","A","3","Several plausible options (more than one CSP could have been selected)","","C","1","No suitable CSP (none of the proposed CSPs seemed appropriate)","","A","3","Clear choice (one CSP clearly stood out)","","D","2","Several plausible options (more than one CSP could have been selected)","","D","3","Several plausible options (more than one CSP could have been selected)","","D","3","Several plausible options (more than one CSP could have been selected)","","D","2","Several plausible options (more than one CSP could have been selected)","","E","2","Clear choice (one CSP clearly stood out)","","A","2","No suitable CSP (none of the proposed CSPs seemed appropriate)","","A","3","Clear choice (one CSP clearly stood out)","","D","2","Several plausible options (more than one CSP could have been selected)","","A","3","Several plausible options (more than one CSP could have been selected)","","A","3","Several plausible options (more than one CSP could have been selected)","","B","3","Clear choice (one CSP clearly stood out)","","E","2","No suitable CSP (none of the proposed CSPs seemed appropriate)","","C","2","No suitable CSP (none of the proposed CSPs seemed appropriate)","","D","3","Several plausible options (more than one CSP could have been selected)","","C","1","No suitable CSP (none of the proposed CSPs seemed appropriate)","","A","3","Clear choice (one CSP clearly stood out)","","I don't know the criteria supposed to be used to select csp in neurofeedback, so I imagined! Presence of a high contrast in the csp (hope it may maximise sensitivity), lateralized pattern (cerebral activity expected controlateral to the imagined moving hand), pattern similar to the left figure entitled ""hand"" (hypothesis that the imagined activity is similar to the one evoked by a real hand movement) "
"2026/01/13 7:01:37 PM UTC+1","BCI","< 5 years","Limited familiarity (general knowledge or occasional use)","C","4","Several plausible options (more than one CSP could have been selected)","","D","2","Several plausible options (more than one CSP could have been selected)","","A","5","Clear choice (one CSP clearly stood out)","","A","3","Several plausible options (more than one CSP could have been selected)","","E","2","Several plausible options (more than one CSP could have been selected)","","C","3","No suitable CSP (none of the proposed CSPs seemed appropriate)","","D","1","Several plausible options (more than one CSP could have been selected)","","D","4","Clear choice (one CSP clearly stood out)","","E","1","No suitable CSP (none of the proposed CSPs seemed appropriate)","","D","3","Several plausible options (more than one CSP could have been selected)","","D","2","No suitable CSP (none of the proposed CSPs seemed appropriate)","","D","3","Several plausible options (more than one CSP could have been selected)","","A","4","Clear choice (one CSP clearly stood out)","","C","3","No suitable CSP (none of the proposed CSPs seemed appropriate)","","E","4","Several plausible options (more than one CSP could have been selected)","","F","4","Clear choice (one CSP clearly stood out)","","D","1","No suitable CSP (none of the proposed CSPs seemed appropriate)","","B","2","No suitable CSP (none of the proposed CSPs seemed appropriate)","","D","3","No suitable CSP (none of the proposed CSPs seemed appropriate)","","A","4","Clear choice (one CSP clearly stood out)","",""
"2026/01/13 8:55:07 PM UTC+1","EEG signal processing and machine learning applied to MI decoding","5–10 years","High familiarity (extensive use in research or applied BCI/neurofeedback)","E","2","Several plausible options (more than one CSP could have been selected)","","A","3","Clear choice (one CSP clearly stood out)","","A","1","No suitable CSP (none of the proposed CSPs seemed appropriate)","","A","4","Clear choice (one CSP clearly stood out)","","C","2","Several plausible options (more than one CSP could have been selected)","","C","3","Several plausible options (more than one CSP could have been selected)","","D","4","Clear choice (one CSP clearly stood out)","","F","4","Several plausible options (more than one CSP could have been selected)","","D","1","No suitable CSP (none of the proposed CSPs seemed appropriate)","","F","3","Clear choice (one CSP clearly stood out)","","A","2","No suitable CSP (none of the proposed CSPs seemed appropriate)","","E","5","No suitable CSP (none of the proposed CSPs seemed appropriate)","","A","5","Clear choice (one CSP clearly stood out)","","A","3","Several plausible options (more than one CSP could have been selected)","","B","3","Several plausible options (more than one CSP could have been selected)","","F","3","Clear choice (one CSP clearly stood out)","","A","5","No suitable CSP (none of the proposed CSPs seemed appropriate)","","B","4","Clear choice (one CSP clearly stood out)","","E","2","Several plausible options (more than one CSP could have been selected)","","A","2","Several plausible options (more than one CSP could have been selected)","","I tried to select CSP patterns where there was activity in the contralateral han motor area, near C3 channel, given the expected ERD."
"2026/01/13 9:00:38 PM UTC+1","EEG","> 10 years","No familiarity","C","4","Several plausible options (more than one CSP could have been selected)","","B","3","Several plausible options (more than one CSP could have been selected)","","C","2","No suitable CSP (none of the proposed CSPs seemed appropriate)","","A","4","Several plausible options (more than one CSP could have been selected)","","D","2","No suitable CSP (none of the proposed CSPs seemed appropriate)","","B","2","No suitable CSP (none of the proposed CSPs seemed appropriate)","","E","4","Clear choice (one CSP clearly stood out)","","D","4","Clear choice (one CSP clearly stood out)","","E","3","Clear choice (one CSP clearly stood out)","","F","3","No suitable CSP (none of the proposed CSPs seemed appropriate)","","A","4","Several plausible options (more than one CSP could have been selected)","","E","3","Clear choice (one CSP clearly stood out)","","A","3","No suitable CSP (none of the proposed CSPs seemed appropriate)","","A","4","Several plausible options (more than one CSP could have been selected)","","A","3","Several plausible options (more than one CSP could have been selected)","","E","3","No suitable CSP (none of the proposed CSPs seemed appropriate)","","A","2","No suitable CSP (none of the proposed CSPs seemed appropriate)","","C","3","Several plausible options (more than one CSP could have been selected)","","B","1","No suitable CSP (none of the proposed CSPs seemed appropriate)","","A","4","Several plausible options (more than one CSP could have been selected)","","I realized after a few questions that choices E and F where also available.."
"2026/01/13 11:19:54 PM UTC+1","scalp EEG signal processing, iEEG signal processing, BCI, network neuroscience, spatial navigation and memory","5–10 years","High familiarity (extensive use in research or applied BCI/neurofeedback)","C","3","No suitable CSP (none of the proposed CSPs seemed appropriate)","I assume that in the band power plot blue is lower/negative. I assume the first middle channel from top to down is Cz. I assume all the filters have the same min/max limits. I assume the reference wasn’t placed at Fz.","A","5","Clear choice (one CSP clearly stood out)","Same assumptions as before.","A","4","Clear choice (one CSP clearly stood out)","possible bilateral activation ","A","5","Clear choice (one CSP clearly stood out)","","F","3","No suitable CSP (none of the proposed CSPs seemed appropriate)","","A","4","Clear choice (one CSP clearly stood out)","bilateral pattern","D","5","Clear choice (one CSP clearly stood out)","","A","4","Several plausible options (more than one CSP could have been selected)","","A","1","No suitable CSP (none of the proposed CSPs seemed appropriate)","remove Fp1 and Fp2","D","3","Several plausible options (more than one CSP could have been selected)","remove Fp1 and Fp2. Also CSP F","A","2","Several plausible options (more than one CSP could have been selected)","frontal artifacts","F","3","Several plausible options (more than one CSP could have been selected)","","A","5","Several plausible options (more than one CSP could have been selected)","","A","5","Clear choice (one CSP clearly stood out)","","B","5","Several plausible options (more than one CSP could have been selected)","","F","3","No suitable CSP (none of the proposed CSPs seemed appropriate)","remove frontal artifacts","D","1","No suitable CSP (none of the proposed CSPs seemed appropriate)","remove frontal artifacts","B","5","Clear choice (one CSP clearly stood out)","","C","1","No suitable CSP (none of the proposed CSPs seemed appropriate)","","A","5","Clear choice (one CSP clearly stood out)","","I selected the CSP filters that captured physiologically plausible patterns reflected in alpha–beta power modulations. When no clearly defined spatial pattern emerged in the power plot, I selected the filter that best reflected the expected right-hand motor imagery pattern, namely a lateralized difference over the left sensorimotor cortex. I also aimed to avoid filters showing a strong influence of artifacts.
If you use you use mne.decoding.CSP, it would be interesting to know which parameter you use for component_order (‘mutual_info’ or ‘alternate’). This information would help to clarify which class/task variance each filter is maximizing or minimizing, and therefore have a better interpretation of the physiological patterns reflected by the selected components."
"2026/01/14 12:01:43 PM UTC+1","EEG signal procesing and BCI","< 5 years","Limited familiarity (general knowledge or occasional use)","A","3","Clear choice (one CSP clearly stood out)","","D","3","Several plausible options (more than one CSP could have been selected)","I could have chosen the F also. ","A","2","No suitable CSP (none of the proposed CSPs seemed appropriate)","","A","5","Clear choice (one CSP clearly stood out)","The others CSP selects the region with a lot of noise or physiological artefact ","F","1","No suitable CSP (none of the proposed CSPs seemed appropriate)","No CSP selected the motor region. There appear to be numerous blinks and visual stimuli.","C","3","Several plausible options (more than one CSP could have been selected)","I could have chosen the E","E","4","Clear choice (one CSP clearly stood out)","","A","2","No suitable CSP (none of the proposed CSPs seemed appropriate)","","D","4","Clear choice (one CSP clearly stood out)","The others tends to select the frontal part of the brain which is linked to the blink","D","2","Several plausible options (more than one CSP could have been selected)","D or F","D","4","Clear choice (one CSP clearly stood out)","","D","4","Clear choice (one CSP clearly stood out)","","A","2","Clear choice (one CSP clearly stood out)","","A","5","Clear choice (one CSP clearly stood out)","","F","4","Clear choice (one CSP clearly stood out)","","F","2","No suitable CSP (none of the proposed CSPs seemed appropriate)","","D","1","No suitable CSP (none of the proposed CSPs seemed appropriate)","","B","4","Clear choice (one CSP clearly stood out)","","C","2","No suitable CSP (none of the proposed CSPs seemed appropriate)","","A","5","Clear choice (one CSP clearly stood out)","","Since the task involved motor imagination, I initially selected the motor area, and since we know it's the right hand, I then prioritized the left hemisphere. Furthermore, I avoided selecting regions most susceptible to physiological artifacts: blinking, swallowing, head movement, and visual stimulation."
"2026/01/14 12:35:58 PM UTC+1","Neurophysiology, IOMN","< 5 years","No familiarity","C","4","Several plausible options (more than one CSP could have been selected)","","A","4","Several plausible options (more than one CSP could have been selected)","","E","4","Several plausible options (more than one CSP could have been selected)","","A","4","Several plausible options (more than one CSP could have been selected)","","C","4","Several plausible options (more than one CSP could have been selected)","","B","4","Several plausible options (more than one CSP could have been selected)","","F","4","Several plausible options (more than one CSP could have been selected)","","A","2","Several plausible options (more than one CSP could have been selected)","","E","3","Several plausible options (more than one CSP could have been selected)","","B","3","Several plausible options (more than one CSP could have been selected)","","D","3","Several plausible options (more than one CSP could have been selected)","","E","3","Several plausible options (more than one CSP could have been selected)","","D","3","Several plausible options (more than one CSP could have been selected)","","E","3","Several plausible options (more than one CSP could have been selected)","","E","3","Several plausible options (more than one CSP could have been selected)","","F","3","Several plausible options (more than one CSP could have been selected)","","E","2","No suitable CSP (none of the proposed CSPs seemed appropriate)","","C","2","Several plausible options (more than one CSP could have been selected)","","A","2","Several plausible options (more than one CSP could have been selected)","","C","2","Several plausible options (more than one CSP could have been selected)","",""
